experiment,replicate,inhibitor,unit,concentration,Haploid,Diploid,Tetraploid
1,2,GSK-923295,nM,1.220703125,1.043095599,0.917049515,1.043489318
1,2,GSK-923295,nM,0.610351563,0.944764795,0.904798367,1.019074262
1,2,GSK-923295,nM,0.305175781,0.882852807,0.861919347,1.029755849
2,3,GSK-923295,nM,625,0.035513361,0.031539479,0.043446602
2,3,GSK-923295,nM,312.5,0.037623066,0.027569475,0.03907767
2,3,GSK-923295,nM,156.25,0.060829817,0.038156154,0.025970874
2,3,GSK-923295,nM,78.125,0.098804501,0.042126158,0.033252427
2,3,GSK-923295,nM,39.0625,0.442686357,0.181076312,0.059466019
2,3,GSK-923295,nM,19.53125,0.949015471,0.709086899,0.111893204
2,3,GSK-923295,nM,9.765625,0.989099859,0.981693869,0.829854369
2,3,GSK-923295,nM,4.8828125,1.01230661,1.022717247,1.048300971
2,3,GSK-923295,nM,2.44140625,0.991209564,1.041243935,1.059951456
2,3,GSK-923295,nM,1.220703125,1.054500703,1.002867225,1.065776699
2,3,GSK-923295,nM,0.610351563,0.949015471,0.957873842,1.025
2,3,GSK-923295,nM,0.305175781,0.885724332,0.932730481,1.006067961
2,4,GSK-923295,nM,625,0.039713542,0.037405491,0.041037204
2,4,GSK-923295,nM,312.5,0.033854167,0.033824115,0.041037204
2,4,GSK-923295,nM,156.25,0.031901042,0.032630322,0.041037204
2,4,GSK-923295,nM,78.125,0.102213542,0.051730999,0.046448703
2,4,GSK-923295,nM,39.0625,0.490885417,0.172304019,0.019391206
2,4,GSK-923295,nM,19.53125,0.811197917,0.717867091,0.085682074
2,4,GSK-923295,nM,9.765625,0.871744792,0.914842817,0.832468997
2,4,GSK-923295,nM,4.8828125,0.988932292,0.970951055,0.982638106
2,4,GSK-923295,nM,2.44140625,1.051432292,0.882610426,0.925817362
2,4,GSK-923295,nM,1.220703125,1.039713542,0.978113808,0.979932356
2,4,GSK-923295,nM,0.610351563,1.047526042,0.923199363,1.052987599
2,4,GSK-923295,nM,0.305175781,1.037760417,0.881416634,0.982638106
3,5,GSK-923295,nM,625,0.037974684,0.028541226,0.053217078
3,5,GSK-923295,nM,312.5,0.04159132,0.034883721,0.046001203
3,5,GSK-923295,nM,156.25,0.070524412,0.036997886,0.042393265
3,5,GSK-923295,nM,78.125,0.153707052,0.053911205,0.038785328
3,5,GSK-923295,nM,39.0625,0.692585895,0.309725159,0.056825015
3,5,GSK-923295,nM,19.53125,0.960216998,0.82346723,0.489777511
3,5,GSK-923295,nM,9.765625,0.971066908,1.096194503,0.890258569
3,5,GSK-923295,nM,4.8828125,0.996383363,1.058139535,0.949789537
3,5,GSK-923295,nM,2.44140625,1.075949367,1.170190275,1.094107035
3,5,GSK-923295,nM,1.220703125,1.133815552,1.16384778,1.061635598
